Altium Designer Pick and Place Locations
D:\projekty\mortar_v2\Project Outputs for Mortar_V2\Pick Place\Pick Place for mortar_v2.txt

========================================================================================================================
File Design Information:

Date:       03.12.22
Time:       15:04
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                           Layer    Footprint                     Center-X(mil) Center-Y(mil) Rotation Description                                                                                     
P6         61300211121                       TopLayer 61300211121                   706.693       2276.575      270      "WR-PHD Pin Header, THT, pitch 2.54mm, Single Row, Vertical, 2p"                                
R29        R_1K_0603                         TopLayer R_0603                        2283.465      2744.094      270      "SMD RES 1K-1%-1/10W"                                                                           
R28        R_10K_0603                        TopLayer R_0603                        2381.890      2744.094      270      "SMD RES 10K-5%-1/10W"                                                                          
R27        R_1K_0603                         TopLayer R_0603                        1751.968      2744.095      270      "SMD RES 1K-1%-1/10W"                                                                           
R26        R_10K_0603                        TopLayer R_0603                        1850.394      2744.095      270      "SMD RES 10K-5%-1/10W"                                                                          
R25        R_1K_0603                         TopLayer R_0603                        2086.614      2744.094      270      "SMD RES 1K-1%-1/10W"                                                                           
R24        R_10K_0603                        TopLayer R_0603                        2185.039      2744.094      270      "SMD RES 10K-5%-1/10W"                                                                          
R7         R_1K_0603                         TopLayer R_0603                        1555.118      2744.095      270      "SMD RES 1K-1%-1/10W"                                                                           
R6         R_10K_0603                        TopLayer R_0603                        1653.543      2744.095      270      "SMD RES 10K-5%-1/10W"                                                                          
D13        BAT54S                            TopLayer SOT23                         2322.834      2590.551      90       Diode                                                                                           
D12        BAT54S                            TopLayer SOT23                         1811.024      2594.488      180      Diode                                                                                           
D5         BAT54S                            TopLayer SOT23                         2125.984      2590.551      90       Diode                                                                                           
D4         BAT54S                            TopLayer SOT23                         1594.488      2594.488      180      Diode                                                                                           
R23        4k7                               TopLayer R_0603                        885.827       1220.472      90       ""                                                                                              
R22        4k7                               TopLayer R_0603                        787.402       1220.472      90       ""                                                                                              
R21        4k7                               TopLayer R_0603                        1801.181      1102.362      90       ""                                                                                              
R20        4k7                               TopLayer R_0603                        1722.441      1102.362      90       ""                                                                                              
P5         691325310002                      TopLayer 691325310002                  311.025       826.773       270      "WR-TBL Series 3253 Horizontal PCB Header with Flanges, Through Hole, pitch 3.81mm, 2p"         
P4         691325310003                      TopLayer 691325310003                  944.881       311.025       360      "WR-TBL Series 3253 Horizontal PCB Header with Flanges, Through Hole, pitch 3.81mm, 3p"         
P3         691325310003                      TopLayer 691325310003                  2007.873      311.025       360      "WR-TBL Series 3253 Horizontal PCB Header with Flanges, Through Hole, pitch 3.81mm, 3p"         
C1         C_1u_16V                          TopLayer C_0603                        2135.827      2125.984      90       ""                                                                                              
C2         C_100n_25V_0603                   TopLayer C_0603                        2096.457      2017.717      180      "100n 25V 0603 X7R"                                                                             
C3         C_100n_25V_0603                   TopLayer C_0603                        2204.724      2125.984      90       "100n 25V 0603 X7R"                                                                             
C6         12p                               TopLayer C_0603                        263.779       2000.000      360      C                                                                                               
C9         12p                               TopLayer C_0603                        370.079       2192.913      180      C                                                                                               
C10        C_100n_25V_0603                   TopLayer C_0603                        474.409       1604.331      90       "100n 25V 0603 X7R"                                                                             
